Country	MinTemp	MaxTemp	
Afghanistan	-8.192	32.95
Albania	2.8309999999999995	27.361
Algeria	2.228	39.651
Angola	14.896999999999998	28.085
Argentina	-1.4599999999999995	29.509
Armenia	-10.024	24.958000000000002
Australia	2.72	28.575000000000006
Austria	-12.26	23.017
Azerbaijan	-5.9110000000000005	27.0
Bahamas	17.002	30.307
Bahrain	12.017000000000001	37.446999999999996
Bangladesh	10.953	32.815
Belarus	-18.537	24.278
Belgium	-7.719999999999999	22.812
Benin	21.928	32.102000000000004
Bolivia	1.8229999999999995	20.786
Bosnia And Herzegovina	-8.254999999999999	28.496
Botswana	8.612	26.985
Brazil	9.591	30.495
Bulgaria	-9.363	26.901
Burkina Faso	22.834	34.120000000000005
Burma	14.623	32.851
Burundi	18.546000000000006	23.726
Cambodia	22.47	30.596
Cameroon	19.534	34.957
Canada	-31.825000000000006	26.968
Central African Republic	22.647	28.554
Chad	22.186999999999998	33.073
Chile	-3.8160000000000003	24.631999999999998
China	-34.94	31.799
Colombia	15.213	30.895
Congo	20.355	26.426
Congo (Democratic Republic Of The)	15.075999999999999	29.051
Costa Rica	22.162	28.458000000000002
Croatia	-7.446999999999999	26.901999999999997
Cuba	17.437	29.503
Cyprus	7.454999999999999	29.863000000000003
Czech Republic	-12.985	23.145000000000003
Côte D'Ivoire	21.693	30.862
Denmark	-7.816000000000002	21.436999999999998
Djibouti	23.221	35.751999999999995
Dominican Republic	21.046999999999997	29.612
Ecuador	15.028	27.807
Egypt	8.05	36.224000000000004
El Salvador	21.002	28.191
Equatorial Guinea	21.756	28.197
Eritrea	19.239	28.146
Estonia	-17.819000000000006	22.728
Ethiopia	14.528	33.279
Finland	-20.631	21.535
France	-9.497	27.174
Gabon	21.742	28.901999999999997
Gambia	19.647000000000002	29.448
Georgia	-10.024	24.958000000000002
Germany	-12.008	23.795
Ghana	22.107	31.999
Greece	-2.2769999999999997	30.116999999999997
Guatemala	14.353000000000002	22.573
Guinea	20.191	31.148000000000003
Guinea Bissau	21.893	31.544
Guyana	23.087	29.254
Haiti	21.991	29.59
Honduras	18.625	27.901999999999997
Hong Kong	9.439	29.799
Hungary	-11.062999999999999	25.715
Iceland	-11.127	13.812000000000001
India	-5.045	37.52200000000001
Indonesia	22.046999999999997	29.665
Iran	-11.110999999999999	39.15600000000001
Iraq	0.5179999999999998	38.283
Ireland	-1.2200000000000002	18.74
Israel	5.855	31.705
Italy	-8.238999999999999	28.787
Jamaica	21.754	29.571
Japan	-13.456	29.73
Jordan	5.855	29.615
Kazakhstan	-30.18	30.347
Kenya	13.304	28.974
Laos	15.87	29.757
Latvia	-16.1	22.408
Lebanon	5.855	29.615
Lesotho	4.354	22.514
Liberia	22.241999999999997	28.866999999999997
Libya	7.897	35.201
Lithuania	-15.907	21.883000000000006
Macedonia	-7.882000000000001	24.084
Madagascar	14.186	29.335
Malawi	14.020999999999999	27.982
Malaysia	21.999	29.932
Mali	20.1	35.649
Mauritania	18.882	32.221000000000004
Mauritius	19.241	27.738000000000003
Mexico	0.4870000000000001	35.589
Moldova	-13.625	25.197
Mongolia	-31.986	20.201
Montenegro	-6.444	24.239
Morocco	5.056000000000001	29.864
Mozambique	14.100999999999999	29.893
Namibia	12.186	26.444000000000003
Nepal	2.644	33.425
Netherlands	-7.917999999999999	22.812
New Zealand	-1.1489999999999998	21.738000000000003
Nicaragua	23.604	30.354
Niger	18.039	35.561
Nigeria	18.015	35.364000000000004
Norway	-15.099	18.048
Oman	19.597	31.725
Pakistan	3.0749999999999997	37.938
Panama	24.250999999999998	30.224
Papua New Guinea	21.741	26.971
Paraguay	12.753	29.509
Peru	9.9999999999989E-4	28.548
Philippines	20.685	30.548000000000002
Poland	-15.334000000000001	24.367
Portugal	4.093999999999999	26.772
Puerto Rico	21.77	28.368
Qatar	13.835	37.812
Reunion	19.291	27.380000000000006
Romania	-12.972000000000001	26.901
Russia	-42.70399999999999	29.253
Rwanda	16.658	21.634
Saudi Arabia	7.1720000000000015	38.049
Senegal	18.768	31.823
Serbia	-9.298	25.715
Sierra Leone	20.189	29.087
Singapore	24.031999999999996	28.880000000000006
Slovakia	-12.845999999999998	25.180999999999997
Slovenia	-7.446999999999999	23.869
Somalia	18.378	34.137
South Africa	4.354	27.389
South Korea	-8.991999999999997	26.791
Spain	-0.939	30.659000000000002
Sri Lanka	22.684	32.075
Sudan	18.508	35.7
Suriname	23.647	28.807
Swaziland	14.100999999999999	27.221
Sweden	-14.417000000000002	20.921999999999997
Switzerland	-9.497	22.888
Syria	0.6699999999999999	32.629
Taiwan	10.475	29.815
Tajikistan	-12.948	26.539
Tanzania	15.322000000000001	29.131
Thailand	17.65	32.099000000000004
Togo	22.2	31.265
Tunisia	5.9590000000000005	33.26
Turkey	-15.353000000000002	32.885
Turkmenistan	-12.376	32.591
Uganda	21.259	28.359
Ukraine	-17.686	27.413
United Arab Emirates	15.314999999999998	36.371
United Kingdom	-4.47	20.743
United States	-25.163	34.379
Uruguay	6.949000000000002	27.789
Uzbekistan	-15.732000000000001	31.035
Venezuela	18.391	31.591
Vietnam	9.324	31.971999999999998
Yemen	19.926	31.085
Zambia	13.967	29.392
Zimbabwe	11.794	25.846
